ra,dec,umag,eu,bmag,eb,vmag,ev,gmag,eg,rmag,er,imag,ei,zmag,ez,kmag,ek,zp_best,zl68_gal,zu68_gal,Origin,SpecRA,SpecDEC,z_spec,Q_f,SpecOrigin,Outlier,I_FWHMArea,Z_FWHMArea,R_FWHMArea,G_FWHMArea
149.46077,1.747309,25.75,0.128,24.322,0.055,23.507,0.032,24.301,0.049,22.59,0.021,21.666,0.013,21.131,0.011,19.574,0.01,0.534,0.52,0.55,mag25lim,149.4607764,1.747287967,0.644299984,2.0,publicSpecZ,0,37,39.0,45.0,39.0
149.46108,2.559742,25.087,0.085,24.39,0.057,23.63,0.034,24.363000000000003,0.05,22.963,0.024,21.969,0.015,21.503,0.014,20.135,0.011,0.7040000000000001,0.68,0.72,mag25lim,149.4611146,2.559735663,0.7052,3.0,publicSpecZ,0,13,15.0,17.0,15.0
149.46137,2.023784,22.2819,0.0168,21.36,0.0126,20.6838,0.0078,21.3125,0.0105,20.4562,0.0071,20.0475,0.0057,19.7828,0.0054,19.0316,0.0363,0.2,0.12,0.29,Cosmos2006,149.46137,2.023785,0.2,4.0,DEIMOS,0,39,51.0,64.0,51.0
149.4615,2.405754,23.865,0.039,23.593000000000004,0.038,23.376,0.03,23.829,0.038,23.061,0.025,22.768,0.022,22.771,0.031,22.455,0.08900000000000001,0.557,0.55,0.57,mag25lim,149.4615051,2.405747809,0.125,4.0,publicSpecZ,0,34,22.0,45.0,22.0
149.46218000000005,2.2837810000000003,23.9829,0.0399,23.6629,0.0383,23.4124,0.0298,23.8144,0.0359,23.1916,0.026,22.511,0.0193,21.986,0.0178,21.0505,0.1603,1.01,0.86,1.05,Cosmos2006,149.4621875,2.283799235,1.0094,9.0,publicSpecZ,0,35,38.0,42.0,38.0
149.46227,1.670832,23.912,0.041,23.507,0.036000000000000004,23.177,0.027000000000000003,23.675,0.034,22.878,0.023,22.587,0.02,22.342,0.023,21.631,0.046,0.485,0.47,0.5,mag25lim,149.462296,1.670782,0.4774,4.5,zCOSMOS,0,24,19.0,35.0,19.0
149.46319,2.423289,25.797,0.132,24.846,0.073,23.91,0.04,24.738000000000003,0.065,23.215,0.027000000000000003,22.583,0.02,22.192,0.021,21.465,0.033,0.506,0.47,0.52,mag25lim,149.46320669999997,2.423272678,0.4859,1.0,publicSpecZ,0,15,17.0,22.0,17.0
149.46339,2.274487,23.999,0.04,23.794,0.042,23.533,0.033,23.958,0.04,23.255,0.028,22.638,0.021,21.901,0.017,20.702,0.017,1.106,1.08,1.12,mag25lim,149.4633985,2.274481742,1.113,1.0,publicSpecZ,0,22,30.0,37.0,30.0
149.46358999999995,2.558118,23.3071,0.0293,22.5545,0.0222,21.7318,0.0128,22.509,0.0185,21.3216,0.0106,20.8301,0.0083,20.4071,0.0073,19.397,0.0409,0.33,0.26,0.41,Cosmos2006,149.4636162,2.558112715,0.3728,3.0,publicSpecZ,0,47,49.0,60.0,49.0
149.46393,2.224864,25.2998,0.0884,24.6449,0.0635,24.3514,0.0488,24.8792,0.0644,23.6997,0.0337,22.7286,0.0213,21.7415,0.0154,20.531,0.1101,1.18,1.12,1.22,Cosmos2006,149.46396140000004,2.224867382,1.0972797,3.0,publicSpecZ,0,13,15.0,16.0,15.0
149.46408,2.723263,21.188,0.01,20.094,0.01,19.587,0.01,20.106,0.01,19.368,0.01,19.023,0.01,18.633,0.01,17.837,0.01,0.108,0.1,0.14,mag25lim,149.46408,2.723263,0.102,4.0,DEIMOS,0,59,56.0,63.0,56.0
149.46606,1.812826,24.514,0.057,24.219,0.052000000000000005,23.942,0.043,24.414,0.054000000000000006,23.678,0.035,22.884,0.025,22.399,0.024,21.228,0.026,0.998,0.99,1.01,mag25lim,149.4660905,1.812818189,0.9771,9.0,publicSpecZ,0,25,24.0,28.0,24.0
149.46657,2.710716,26.3222,0.254,25.63300000000001,0.1147,24.2926,0.0484,25.4433,0.0922,23.3674,0.0295,22.0756,0.0152,21.214,0.0114,19.8154,0.066,0.91,0.89,0.93,Cosmos2006,149.466569,2.710730776,0.8828,3.0,publicSpecZ,0,16,16.0,21.0,16.0
149.4669,1.8569,24.404,0.053,24.021,0.047,23.95,0.04,24.22300000000001,0.046,23.643,0.034,23.179,0.028,22.893,0.034,22.486,0.073,0.77,0.76,0.78,mag25lim,149.4669294,1.85687908,0.78,9.0,publicSpecZ,0,29,18.0,26.0,18.0
149.46763,1.899155,23.797,0.038,22.85,0.026,21.888,0.014,22.72,0.021,21.531,0.012,21.092,0.01,20.74,0.01,19.827,0.01,0.295,0.28,0.31,mag25lim,149.46765180000003,1.899138459,0.3119,3.0,publicSpecZ,0,21,20.0,31.0,20.0
149.468,2.059493,24.928,0.0691,24.2008,0.0495,23.5183,0.031,24.1162,0.0417,22.9173,0.0227,22.1191,0.0155,21.737,0.0155,20.4132,0.1199,0.61,0.55,0.65,Cosmos2006,149.468002,2.059491,0.6745,4.0,DEIMOS,0,34,39.0,43.0,39.0
149.468,2.5453650000000003,24.2987,0.0528,23.2104,0.0304,22.7828,0.0213,23.228,0.0264,22.6378,0.0198,22.3027,0.0171,22.1959,0.0206,99.0,23.2,0.12,0.08,2.89,Cosmos2006,149.468002,2.545375,0.331,1.1,zCOSMOS,0,60,52.0,77.0,52.0
149.46884,2.016728,23.669,0.034,22.8381,0.0253,22.0807,0.0151,22.8222,0.0214,21.3758,0.0108,20.7113,0.0078,20.2616,0.0068,19.0217,0.0355,0.47,0.44,0.57,Cosmos2006,149.46886840000005,2.016695619,0.5009,3.0,publicSpecZ,0,17,19.0,23.0,19.0
149.46928,2.030328,24.4157,0.0511,24.0589,0.0456,23.7554,0.0352,24.198,0.0433,23.522,0.0306,22.8121,0.0223,22.246,0.0212,20.9279,0.1984,1.01,0.92,1.06,Cosmos2006,149.46931030000005,2.030292692,1.0174,2.0,publicSpecZ,0,56,44.0,49.0,44.0
149.4697,2.291246,24.0772,0.042,23.7086,0.0386,23.607,0.0331,23.9376,0.0383,23.3056,0.0275,22.7568,0.022,22.0661,0.0187,20.8681,0.1413,1.13,1.09,1.21,Cosmos2006,149.469696,2.2912470000000003,1.112,3.0,DEIMOS,0,14,18.0,26.0,18.0
149.46996,2.067699,24.05,0.042,23.29300000000001,0.033,22.896,0.024,23.308000000000003,0.029,22.81,0.022,22.56900000000001,0.02,22.496,0.026,22.07,0.046,0.201,0.19,0.21,mag25lim,149.46999619999997,2.067685319,0.166899994,4.0,publicSpecZ,0,13,18.0,19.0,18.0
149.47017,2.163778,23.829,0.037000000000000005,23.421,0.035,23.09800000000001,0.026,23.605,0.033,22.743,0.021,22.47,0.019,22.34800000000001,0.023,21.872,0.038,0.578,0.46,0.59,mag25lim,149.4702043,2.163755885,0.4998,3.0,publicSpecZ,0,28,28.0,41.0,28.0
149.47028,1.7779509999999998,23.728,0.036000000000000004,22.658,0.024,22.136,0.016,22.655,0.021,21.908,0.014,21.563,0.012,21.358,0.012,21.095,0.026,0.025,0.01,0.04,mag25lim,149.47034509999997,1.77789707,0.4016,1.0,publicSpecZ,0,9,9.0,10.0,9.0
149.47035,2.471452,24.841,0.071,24.198,0.052000000000000005,23.659,0.035,24.266,0.048,23.034,0.025,22.489,0.019,22.178,0.021,20.887,0.022,0.5479999999999999,0.53,0.56,mag25lim,149.47036699999995,2.471411,0.5164,3.5,zCOSMOS,0,34,35.0,43.0,35.0
149.47104,1.741436,21.281,0.011,20.298,0.01,19.369,0.01,20.163,0.01,19.13,0.01,18.64,0.01,18.228,0.01,17.212,0.01,0.231,0.22,0.24,mag25lim,149.4710293,1.7413914469999998,0.207714334,4.0,publicSpecZ,0,44,46.0,69.0,46.0
149.47173,1.7732130000000002,24.488000000000003,0.056,23.064,0.029,22.102,0.016,22.93,0.024,21.261,0.011,20.651,0.01,20.145,0.01,19.103,0.01,0.489,0.48,0.5,mag25lim,149.4717555,1.773196181,0.4802,4.0,publicSpecZ,0,15,17.0,21.0,17.0
